Country,C1,C2,C3,C4,C5,C6,C7,C8,C9
United States,749.622,1.225,57735.849,1009.523,7218.351,0.017485079,27752.796,0.167534694,0.136
Austria,411.613,0.062,39140.321,809.964,5528.435,0.020692872,32903.978,0.114061364,0.105
Belgium,591.904,0.004,54981.622,1664.227,11453.148,0.030268618,54695.619,0.185525532,0.191
Bulgaria,161.392,0.065,29342.985,1076.39,672.668,0.036682951,9450.96,0.187930233,0.059799
Czechia,384.003,0.103,65109.715,1065.164,7668.956,0.016359574,47802.324,0.170838636,0.121
Denmark,1757.263,0.198,26540.246,205.051,1681.13,0.007726028,7904.766,-0.00918125,0.04
Finland,445.695,0,6421.1,104.982,764.866,0.016346812,3391.063,0.019810417,0.015
France,515.206,0.004,38558.8,926.77,9491.261,0.024035388,67390.986,0.086628571,0.13
Germany,419.488,0.171,19840.237,366.971,5258.375,0.018496373,0,0.034539583,0.065
Greece,316.418,0.018,13138.194,449.607,0,0.034221307,0,0.057943182,0.05
Hungary,225.645,0,31845.066,920.797,0,0.028914901,55217.344,0.117695349,0.097
Ireland,464.202,0.028,17430.28,438.914,2167.568,0.025181186,14170.706,0.026254545,0.079
Italy,441.817,0.023,34913.912,1229.319,6921.358,0.035210137,69932.94,0.18039375,0.114
Lithuania,575.376,0.363,49769.746,602.146,0,0.012098104,22659.522,0.208826829,0.083
Luxembourg,2554.743,0.158,72708.128,733.05,6868.41,0.010081945,40832.243,0.067806818,0.151
Netherlands,345.376,0,44445.403,635.835,6228.191,0.014306022,16521.849,0.116670455,0.085
Norway,495.764,0.019,8790.244,78.32,0,0.008909627,3764.936,0.005825,0.017
Poland,195.74,0.092,31780.455,689.361,0,0.021691378,45234.997,0.186962791,0.076
Portugal,541.321,0,38874.014,650.841,5010.29,0.016742376,32048.046,0.124852273,0.17
Romania,229.751,0.031,31563.662,780.926,0,0.024741053,0,0.171959091,0.052062
Slovakia,553.741,0,44588.534,336.599,2458.608,0.007548985,25048.834,0.118132558,0.094
Slovenia,313.389,0.267,55076.927,1225.634,7120.805,0.022253119,43031.486,0.159589583,0.18
Spain,471.348,0,39718.612,1068.157,5574.627,0.026893298,30891.699,0.193208333,0.133
Sweden,386.2,0,39101.626,815.195,5025.045,0.020848306,29702.87,0.095864583,0.128
Switzerland,368.098,0.043,50103.892,870.982,5594.316,0.017383647,30758.525,0.152509091,0.119
United Kingdom,708.997,0,34704.189,1373.544,3702.372,0.039578649,37053.892,0.143229167,0.162
