Ai,TOPSIS,TOPSIS dir
USA,0.00013139692754571275,1.0
AUT,0.017182180409434866,1.0
BEL,0.09852717745070516,1.0
BGR,0.006201002152180557,1.0
CZE,0.023298107038408067,1.0
DNK,0.01387749545571526,-1.0
FIN,0.0097808474252159,-1.0
FRA,0.01881716961186719,1.0
DEU,0.0030890139796103666,-1.0
GRC,0.006520123611246098,1.0
HUN,0.007010668598288694,1.0
IRL,0.002181442796417854,1.0
ITA,0.059581839381375845,1.0
LTU,0.0006411513651652934,1.0
LUX,0.002759252778498089,1.0
NLD,0.006640138557328923,1.0
NOR,0.0029308891129408154,-1.0
POL,0.007991753729944318,1.0
PRT,0.012101359207599471,1.0
ROU,0.02168204549476771,1.0
SVK,0.016393297014483665,-1.0
SVN,0.008003911751345405,1.0
ESP,0.02514240261379419,1.0
SWE,0.014059130091873318,1.0
CHE,0.015631353008032978,1.0
GBR,0.03592021819628011,1.0
