Country,DARIA-TOPSIS pref,DARIA-TOPSIS rank
USA,0.4817300200281801,20
AUT,0.5364433618765978,13
BEL,0.5174900451843882,16
BGR,0.4354933387998445,23
CZE,0.4303912022117498,24
DNK,0.6601645841526679,1
FIN,0.591370510018275,4
FRA,0.4363176815338777,22
DEU,0.5410007055420877,11
GRC,0.5750440883967807,6
HUN,0.47233095927377095,21
IRL,0.5803109433981255,5
ITA,0.49436457526876,19
LTU,0.5209236855115444,15
LUX,0.6032195715564767,3
NLD,0.5582162619823589,8
NOR,0.6439784813502435,2
POL,0.5099307137484551,17
PRT,0.5477279153321113,9
ROU,0.5377223423357372,12
SVK,0.41283464798731156,25
SVN,0.38259170344203924,26
ESP,0.4980240615092363,18
SWE,0.5625706099828662,7
CHE,0.5314727894365879,14
GBR,0.5439878307593188,10
