,Ai,Variability,dir list
0,USA,0.00013139692754571275,$\uparrow$
1,AUT,0.017182180409434866,$\uparrow$
2,BEL,0.09852717745070516,$\uparrow$
3,BGR,0.006201002152180557,$\uparrow$
4,CZE,0.023298107038408067,$\uparrow$
5,DNK,0.01387749545571526,$\downarrow$
6,FIN,0.0097808474252159,$\downarrow$
7,FRA,0.01881716961186719,$\uparrow$
8,DEU,0.0030890139796103666,$\downarrow$
9,GRC,0.006520123611246098,$\uparrow$
10,HUN,0.007010668598288694,$\uparrow$
11,IRL,0.002181442796417854,$\uparrow$
12,ITA,0.059581839381375845,$\uparrow$
13,LTU,0.0006411513651652934,$\uparrow$
14,LUX,0.002759252778498089,$\uparrow$
15,NLD,0.006640138557328923,$\uparrow$
16,NOR,0.0029308891129408154,$\downarrow$
17,POL,0.007991753729944318,$\uparrow$
18,PRT,0.012101359207599471,$\uparrow$
19,ROU,0.02168204549476771,$\uparrow$
20,SVK,0.016393297014483665,$\downarrow$
21,SVN,0.008003911751345405,$\uparrow$
22,ESP,0.02514240261379419,$\uparrow$
23,SWE,0.014059130091873318,$\uparrow$
24,CHE,0.015631353008032978,$\uparrow$
25,GBR,0.03592021819628011,$\uparrow$
